Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
27 May 2019,Union Berlin,Stuttgart,2.42,3.42,2.91
23 May 2019,Stuttgart,Union Berlin,2.12,3.24,3.76
18 May 2019,B. Monchengladbach,Dortmund,2.88,4.14,2.19
18 May 2019,Bayern Munich,Eintracht Frankfurt,1.28,6.10,9.87
18 May 2019,Dusseldorf,Hannover,1.35,5.93,7.41
18 May 2019,Freiburg,Nurnberg,1.66,4.27,4.90
18 May 2019,Hertha Berlin,Bayer Leverkusen,6.38,4.85,1.46
18 May 2019,Mainz,Hoffenheim,4.22,4.85,1.66
18 May 2019,Schalke,Stuttgart,1.63,4.38,4.96
18 May 2019,Werder Bremen,RB Leipzig,2.17,3.91,3.01
18 May 2019,Wolfsburg,Augsburg,1.31,6.04,8.35
12 May 2019,Eintracht Frankfurt,Mainz,1.53,4.66,5.63
11 May 2019,Augsburg,Hertha Berlin,2.49,3.68,2.68
11 May 2019,Bayer Leverkusen,Schalke,1.34,5.57,8.02
11 May 2019,Dortmund,Dusseldorf,1.36,5.51,7.50
11 May 2019,Hannover,Freiburg,2.95,3.72,2.28
11 May 2019,Hoffenheim,Werder Bremen,1.43,5.20,6.36
11 May 2019,Nurnberg,B. Monchengladbach,4.23,4.04,1.77
11 May 2019,RB Leipzig,Bayern Munich,4.91,4.48,1.61
11 May 2019,Stuttgart,Wolfsburg,3.10,3.75,2.20
05 May 2019,Bayer Leverkusen,Eintracht Frankfurt,1.65,4.33,4.71
05 May 2019,Freiburg,Dusseldorf,2.19,3.70,3.13
05 May 2019,Schalke,Augsburg,1.70,3.95,4.84
04 May 2019,Werder Bremen,Dortmund,3.77,4.10,1.85
04 May 2019,B. Monchengladbach,Hoffenheim,2.31,3.86,2.83
04 May 2019,Bayern Munich,Hannover,1.02,21.96,42.29
04 May 2019,Hertha Berlin,Stuttgart,2.25,3.62,3.05
04 May 2019,Wolfsburg,Nurnberg,1.61,4.21,5.26
03 May 2019,Mainz,RB Leipzig,4.69,4.21,1.68
28 Apr 2019,Nurnberg,Bayern Munich,20.95,9.72,1.12
28 Apr 2019,Hoffenheim,Wolfsburg,1.40,5.11,7.24
27 Apr 2019,Stuttgart,B. Monchengladbach,3.64,3.81,1.95
27 Apr 2019,Dortmund,Schalke,1.48,4.46,6.98
27 Apr 2019,Dusseldorf,Werder Bremen,3.09,3.58,2.26
27 Apr 2019,Eintracht Frankfurt,Hertha Berlin,1.37,5.39,7.53
27 Apr 2019,Hannover,Mainz,3.11,3.69,2.22
27 Apr 2019,RB Leipzig,Freiburg,1.28,5.77,11.01
26 Apr 2019,Augsburg,Bayer Leverkusen,4.73,4.35,1.65
22 Apr 2019,Wolfsburg,Eintracht Frankfurt,2.94,3.71,2.29
21 Apr 2019,Hertha Berlin,Hannover,1.63,4.14,5.17
21 Apr 2019,Freiburg,Dortmund,6.27,4.68,1.48
20 Apr 2019,Schalke,Hoffenheim,3.54,3.94,1.96
20 Apr 2019,B. Monchengladbach,RB Leipzig,3.01,3.58,2.29
20 Apr 2019,Augsburg,Stuttgart,2.28,3.46,3.17
20 Apr 2019,Bayer Leverkusen,Nurnberg,1.28,6.00,9.97
20 Apr 2019,Bayern Munich,Werder Bremen,1.13,9.36,19.00
20 Apr 2019,Mainz,Dusseldorf,1.98,3.79,3.62
14 Apr 2019,Eintracht Frankfurt,Augsburg,1.42,4.77,7.54
14 Apr 2019,Dusseldorf,Bayern Munich,16.01,8.36,1.15
14 Apr 2019,Hoffenheim,Hertha Berlin,1.28,6.66,8.56
13 Apr 2019,Dortmund,Mainz,1.26,6.11,11.03
13 Apr 2019,Hannover,B. Monchengladbach,5.82,4.65,1.52
13 Apr 2019,RB Leipzig,Wolfsburg,1.48,4.49,6.75
13 Apr 2019,Stuttgart,Bayer Leverkusen,4.32,4.14,1.75
13 Apr 2019,Werder Bremen,Freiburg,1.61,4.03,5.62
12 Apr 2019,Nurnberg,Schalke,3.48,3.37,2.16
07 Apr 2019,B. Monchengladbach,Werder Bremen,1.97,3.74,3.67
07 Apr 2019,Augsburg,Hoffenheim,3.94,4.26,1.80
06 Apr 2019,Bayern Munich,Dortmund,1.45,4.89,6.59
06 Apr 2019,Bayer Leverkusen,RB Leipzig,2.46,3.60,2.76
06 Apr 2019,Hertha Berlin,Dusseldorf,1.95,3.68,3.82
06 Apr 2019,Schalke,Eintracht Frankfurt,3.30,3.49,2.17
06 Apr 2019,Stuttgart,Nurnberg,1.75,3.72,4.83
06 Apr 2019,Wolfsburg,Hannover,1.44,4.87,6.74
05 Apr 2019,Mainz,Freiburg,2.13,3.46,3.43
31 Mar 2019,Eintracht Frankfurt,Stuttgart,1.47,4.78,6.35
31 Mar 2019,Hannover,Schalke,4.24,3.79,1.83
30 Mar 2019,RB Leipzig,Hertha Berlin,1.55,4.05,6.25
30 Mar 2019,Dortmund,Wolfsburg,1.47,4.49,6.79
30 Mar 2019,Dusseldorf,B. Monchengladbach,3.88,3.70,1.94
30 Mar 2019,Freiburg,Bayern Munich,13.16,6.75,1.21
30 Mar 2019,Nurnberg,Augsburg,3.18,3.28,2.35
30 Mar 2019,Werder Bremen,Mainz,1.62,4.16,5.32
29 Mar 2019,Hoffenheim,Bayer Leverkusen,2.29,3.93,2.81
17 Mar 2019,Bayern Munich,Mainz,1.12,9.39,21.01
17 Mar 2019,Eintracht Frankfurt,Nurnberg,1.32,5.35,9.33
17 Mar 2019,Bayer Leverkusen,Werder Bremen,1.58,4.33,5.47
16 Mar 2019,Hertha Berlin,Dortmund,3.49,3.55,2.08
16 Mar 2019,Augsburg,Hannover,1.62,4.22,5.26
16 Mar 2019,Schalke,RB Leipzig,3.90,3.54,1.97
16 Mar 2019,Stuttgart,Hoffenheim,3.82,3.98,1.87
16 Mar 2019,Wolfsburg,Dusseldorf,1.86,3.58,4.34
15 Mar 2019,B. Monchengladbach,Freiburg,1.60,4.05,5.68
11 Mar 2019,Dusseldorf,Eintracht Frankfurt,2.77,3.57,2.47
10 Mar 2019,Hannover,Bayer Leverkusen,7.26,5.14,1.39
