Team_ESPN,Team_ODDS
Bolton Wanderers,Bolton
Manchester City,Manchester City
Hull City,Hull
Portsmouth,Portsmouth
Burnley,Burnley
Wigan Athletic,Wigan
Everton,Everton
Blackburn Rovers,Blackburn
Manchester United,Manchester Utd
Birmingham City,Birmingham
Aston Villa,Aston Villa
West Ham United,West Ham
Arsenal,Arsenal
Chelsea,Chelsea
Sunderland,Sunderland
Stoke City,Stoke
Fulham,Fulham
Tottenham Hotspur,Tottenham
Wolverhampton Wanderers,Wolves
Liverpool,Liverpool
Blackpool,Blackpool
West Bromwich Albion,West Brom
Newcastle United,Newcastle
Norwich City,Norwich
Queens Park Rangers,QPR
Swansea City,Swansea
Reading,Reading
Cardiff City,Cardiff
Southampton,Southampton
Crystal Palace,Crystal Palace
Leicester City,Leicester
Watford,Watford
AFC Bournemouth,Bournemouth
Middlesbrough,Middlesbrough
Huddersfield Town,Huddersfield
Brighton & Hove Albion,Brighton
Sheffield United,Sheffield Utd
Leeds United,Leeds
Brentford,Brentford
Nottingham Forest,Nottingham
