Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
15 May 2012,Dusseldorf,Hertha Berlin,2.08,3.47,3.45
10 May 2012,Hertha Berlin,Dusseldorf,2.15,3.24,3.48
05 May 2012,FC Koln,Bayern Munich,5.26,4.35,1.57
05 May 2012,Augsburg,Hamburger SV,2.03,3.65,3.50
05 May 2012,Dortmund,Freiburg,1.21,6.90,12.20
05 May 2012,Hannover,Kaiserslautern,1.42,4.53,7.66
05 May 2012,Hertha Berlin,Hoffenheim,1.95,3.78,3.57
05 May 2012,Mainz,B. Monchengladbach,2.23,3.51,3.09
05 May 2012,Nurnberg,Bayer Leverkusen,2.28,3.51,3.05
05 May 2012,Stuttgart,Wolfsburg,1.79,4.00,4.08
05 May 2012,Werder Bremen,Schalke,2.53,3.62,2.62
28 Apr 2012,B. Monchengladbach,Augsburg,1.73,3.69,4.84
28 Apr 2012,Bayer Leverkusen,Hannover,1.87,3.58,4.12
28 Apr 2012,Bayern Munich,Stuttgart,1.70,3.90,4.83
28 Apr 2012,Freiburg,FC Koln,2.17,3.59,3.20
28 Apr 2012,Hamburger SV,Mainz,2.13,3.34,3.50
28 Apr 2012,Hoffenheim,Nurnberg,2.14,3.41,3.39
28 Apr 2012,Kaiserslautern,Dortmund,6.88,4.33,1.47
28 Apr 2012,Schalke,Hertha Berlin,1.37,5.03,7.76
28 Apr 2012,Wolfsburg,Werder Bremen,1.94,3.84,3.59
22 Apr 2012,Hannover,Freiburg,1.88,3.57,4.10
22 Apr 2012,Augsburg,Schalke,3.18,3.40,2.24
21 Apr 2012,Dortmund,B. Monchengladbach,1.45,4.34,7.45
21 Apr 2012,FC Koln,Stuttgart,3.82,3.69,1.91
21 Apr 2012,Hertha Berlin,Kaiserslautern,1.55,4.03,6.11
21 Apr 2012,Hoffenheim,Bayer Leverkusen,2.34,3.40,2.99
21 Apr 2012,Nurnberg,Hamburger SV,2.15,3.37,3.40
21 Apr 2012,Werder Bremen,Bayern Munich,3.29,3.51,2.14
20 Apr 2012,Mainz,Wolfsburg,1.86,3.78,3.98
15 Apr 2012,Freiburg,Hoffenheim,2.41,3.41,2.87
15 Apr 2012,B. Monchengladbach,FC Koln,1.47,4.42,6.58
14 Apr 2012,Bayern Munich,Mainz,1.31,5.30,10.05
14 Apr 2012,Bayer Leverkusen,Hertha Berlin,1.58,4.06,5.72
14 Apr 2012,Hamburger SV,Hannover,2.31,3.37,3.10
14 Apr 2012,Kaiserslautern,Nurnberg,3.13,3.36,2.27
14 Apr 2012,Schalke,Dortmund,3.35,3.44,2.14
14 Apr 2012,Wolfsburg,Augsburg,1.97,3.50,3.82
13 Apr 2012,Stuttgart,Werder Bremen,1.76,3.90,4.38
11 Apr 2012,Bayer Leverkusen,Kaiserslautern,1.36,4.81,8.58
11 Apr 2012,Dortmund,Bayern Munich,2.51,3.41,2.76
11 Apr 2012,Hannover,Wolfsburg,2.31,3.40,3.06
11 Apr 2012,Hoffenheim,Hamburger SV,1.99,3.48,3.77
11 Apr 2012,Nurnberg,Schalke,3.11,3.48,2.24
10 Apr 2012,Augsburg,Stuttgart,2.49,3.41,2.77
10 Apr 2012,Hertha Berlin,Freiburg,2.13,3.42,3.41
10 Apr 2012,Mainz,FC Koln,1.54,4.20,6.05
10 Apr 2012,Werder Bremen,B. Monchengladbach,2.35,3.40,2.97
08 Apr 2012,Hamburger SV,Bayer Leverkusen,2.70,3.38,2.57
08 Apr 2012,Schalke,Hannover,1.67,3.93,4.94
07 Apr 2012,B. Monchengladbach,Hertha Berlin,1.52,4.01,6.75
07 Apr 2012,FC Koln,Werder Bremen,3.19,3.55,2.18
07 Apr 2012,Bayern Munich,Augsburg,1.14,8.07,19.16
07 Apr 2012,Freiburg,Nurnberg,2.15,3.35,3.42
07 Apr 2012,Kaiserslautern,Hoffenheim,2.80,3.41,2.46
07 Apr 2012,Stuttgart,Mainz,2.10,3.42,3.49
