Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
13 May 2012,Espanyol,Sevilla,2.15,3.44,3.29
13 May 2012,Getafe,Zaragoza,4.53,4.08,1.68
13 May 2012,Levante,Ath Bilbao,1.86,3.50,4.23
13 May 2012,Malaga,Gijon,1.25,6.09,10.35
13 May 2012,Racing Santander,Osasuna,7.14,4.57,1.42
13 May 2012,Rayo Vallecano,Granada CF,1.67,3.78,5.11
13 May 2012,Real Madrid,Mallorca,1.16,8.08,13.90
13 May 2012,Villarreal,Atl. Madrid,2.54,3.30,2.74
12 May 2012,Betis,Barcelona,8.68,5.90,1.30
12 May 2012,Real Sociedad,Valencia,2.34,3.44,2.93
05 May 2012,Ath Bilbao,Getafe,2.00,3.36,3.84
05 May 2012,Atl. Madrid,Malaga,1.97,3.56,3.77
05 May 2012,Barcelona,Espanyol,1.12,9.08,19.40
05 May 2012,Gijon,Betis,1.71,4.00,4.40
05 May 2012,Granada CF,Real Madrid,6.20,4.60,1.48
05 May 2012,Mallorca,Levante,1.81,3.59,4.41
05 May 2012,Osasuna,Real Sociedad,2.09,3.34,3.52
05 May 2012,Sevilla,Rayo Vallecano,1.85,3.54,4.32
05 May 2012,Valencia,Villarreal,1.78,3.63,4.57
05 May 2012,Zaragoza,Racing Santander,1.33,4.88,9.41
02 May 2012,Ath Bilbao,Real Madrid,5.87,4.30,1.52
02 May 2012,Valencia,Osasuna,1.40,4.56,8.02
02 May 2012,Barcelona,Malaga,1.14,8.32,15.54
02 May 2012,Mallorca,Rayo Vallecano,2.03,3.40,3.71
02 May 2012,Sevilla,Betis,1.66,3.86,5.10
02 May 2012,Zaragoza,Levante,2.05,3.39,3.60
02 May 2012,Atl. Madrid,Real Sociedad,1.30,5.46,9.85
01 May 2012,Gijon,Villarreal,2.42,3.36,2.87
01 May 2012,Granada CF,Espanyol,1.91,3.57,3.89
01 May 2012,Getafe,Racing Santander,1.41,4.53,7.90
29 Apr 2012,Rayo Vallecano,Barcelona,8.27,5.54,1.33
29 Apr 2012,Betis,Atl. Madrid,3.64,3.53,2.00
29 Apr 2012,Malaga,Valencia,2.18,3.44,3.25
