Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
28 May 2017,Lorient,Troyes,1.62,3.94,5.33
25 May 2017,Troyes,Lorient,2.58,3.18,2.81
20 May 2017,Angers,Montpellier,1.83,3.85,4.13
20 May 2017,Guingamp,Metz,1.43,4.79,7.05
20 May 2017,Lille,Nantes,2.55,3.43,2.74
20 May 2017,Lorient,Bordeaux,2.26,3.55,3.07
20 May 2017,Lyon,Nice,1.32,5.94,7.87
20 May 2017,Marseille,Bastia,1.32,5.54,8.91
20 May 2017,Nancy,St Etienne,1.80,3.80,4.35
20 May 2017,PSG,Caen,1.15,8.80,16.04
20 May 2017,Rennes,Monaco,3.41,3.92,1.99
20 May 2017,Toulouse,Dijon,2.33,3.17,3.28
17 May 2017,Monaco,St Etienne,1.15,8.37,15.80
14 May 2017,Bastia,Lorient,3.60,3.46,2.02
14 May 2017,Bordeaux,Marseille,2.36,3.46,2.98
14 May 2017,Caen,Rennes,1.72,3.73,5.07
14 May 2017,Dijon,Nancy,2.03,3.34,3.74
14 May 2017,Metz,Toulouse,2.66,3.29,2.73
14 May 2017,Monaco,Lille,1.13,8.82,17.37
14 May 2017,Montpellier,Lyon,3.50,3.62,2.01
14 May 2017,Nantes,Guingamp,2.02,3.39,3.68
14 May 2017,Nice,Angers,1.69,4.01,4.85
14 May 2017,St Etienne,PSG,7.40,4.83,1.42
07 May 2017,Marseille,Nice,1.96,3.64,3.78
07 May 2017,Lyon,Nantes,1.54,4.46,5.75
07 May 2017,Rennes,Montpellier,2.22,3.24,3.33
06 May 2017,Guingamp,Dijon,2.13,3.37,3.36
06 May 2017,Lille,Metz,1.61,4.17,5.45
06 May 2017,Lorient,Angers,2.15,3.42,3.29
06 May 2017,Nancy,Monaco,6.76,4.40,1.49
06 May 2017,Toulouse,Caen,2.07,3.35,3.57
06 May 2017,PSG,Bastia,1.07,11.52,30.43
05 May 2017,St Etienne,Bordeaux,2.59,3.15,2.91
30 Apr 2017,Nice,PSG,7.03,4.73,1.44
30 Apr 2017,Dijon,Bordeaux,3.15,3.47,2.21
30 Apr 2017,Caen,Marseille,3.78,3.67,1.97
29 Apr 2017,Bastia,Rennes,3.64,3.24,2.11
29 Apr 2017,Guingamp,St Etienne,2.30,3.17,3.22
29 Apr 2017,Metz,Nancy,2.55,3.25,2.87
29 Apr 2017,Montpellier,Lille,2.04,3.39,3.63
29 Apr 2017,Nantes,Lorient,1.92,3.56,4.07
29 Apr 2017,Monaco,Toulouse,1.16,7.52,14.80
28 Apr 2017,Angers,Lyon,3.78,3.62,1.98
23 Apr 2017,Lyon,Monaco,3.35,3.82,2.06
23 Apr 2017,St Etienne,Rennes,2.03,3.21,4.14
23 Apr 2017,Toulouse,Nice,3.03,3.18,2.49
22 Apr 2017,Bordeaux,Bastia,1.37,4.81,9.02
22 Apr 2017,Caen,Nantes,2.56,3.15,2.97
22 Apr 2017,Dijon,Angers,2.28,3.27,3.30
22 Apr 2017,Lille,Guingamp,2.04,3.35,3.88
22 Apr 2017,Lorient,Metz,1.69,4.06,4.84
22 Apr 2017,PSG,Montpellier,1.14,9.06,17.08
21 Apr 2017,Nancy,Marseille,3.74,3.53,2.03
18 Apr 2017,Metz,PSG,16.36,8.44,1.15
16 Apr 2017,Marseille,St Etienne,1.68,3.83,5.24
16 Apr 2017,Nantes,Bordeaux,2.52,3.18,2.98
15 Apr 2017,Monaco,Dijon,1.22,6.84,12.56
15 Apr 2017,Guingamp,Toulouse,2.08,3.30,3.78
15 Apr 2017,Metz,Caen,2.32,3.26,3.24
15 Apr 2017,Montpellier,Lorient,1.76,4.00,4.38
15 Apr 2017,Rennes,Lille,2.32,3.05,3.46
15 Apr 2017,Nice,Nancy,1.67,3.60,5.89
14 Apr 2017,Angers,PSG,10.09,5.37,1.31
09 Apr 2017,PSG,Guingamp,1.14,8.52,19.17
09 Apr 2017,St Etienne,Nantes,2.10,3.14,3.95
09 Apr 2017,Toulouse,Marseille,2.92,3.30,2.50
08 Apr 2017,Bordeaux,Metz,1.42,4.73,7.48
08 Apr 2017,Caen,Montpellier,2.53,3.24,2.92
08 Apr 2017,Dijon,Bastia,1.77,3.54,4.97
08 Apr 2017,Lyon,Lorient,1.30,6.06,9.03
08 Apr 2017,Nancy,Rennes,2.43,2.99,3.32
08 Apr 2017,Angers,Monaco,5.28,3.95,1.65
07 Apr 2017,Lille,Nice,2.68,3.09,2.87
05 Apr 2017,Metz,Lyon,7.45,5.18,1.39
02 Apr 2017,Nice,Bordeaux,2.25,3.20,3.39
02 Apr 2017,Lorient,Caen,2.14,3.42,3.48
02 Apr 2017,Montpellier,Toulouse,2.17,3.34,3.47
02 Apr 2017,Nantes,Angers,2.22,3.18,3.56
02 Apr 2017,Rennes,Lyon,4.12,3.72,1.87
01 Apr 2017,Bastia,Lille,3.21,3.01,2.48
01 Apr 2017,Marseille,Dijon,1.38,5.08,8.09
31 Mar 2017,Guingamp,Nancy,1.74,3.66,5.08
19 Mar 2017,PSG,Lyon,1.44,4.83,6.91
19 Mar 2017,Dijon,St Etienne,2.85,3.14,2.66
19 Mar 2017,Caen,Monaco,4.86,3.96,1.70
18 Mar 2017,Angers,Guingamp,2.22,3.15,3.58
18 Mar 2017,Bordeaux,Montpellier,1.83,3.65,4.36
18 Mar 2017,Nancy,Lorient,2.14,3.32,3.61
18 Mar 2017,Toulouse,Rennes,2.20,3.10,3.67
18 Mar 2017,Nantes,Nice,2.48,3.09,3.12
17 Mar 2017,Lille,Marseille,2.93,3.23,2.54
17 Mar 2017,Metz,Bastia,1.86,3.49,4.46
12 Mar 2017,Lorient,PSG,11.37,6.06,1.26
12 Mar 2017,Lyon,Toulouse,1.43,4.84,7.26
12 Mar 2017,St Etienne,Metz,1.60,3.83,6.31
11 Mar 2017,Guingamp,Bastia,1.62,3.75,6.16
11 Mar 2017,Montpellier,Nantes,1.99,3.32,4.14
11 Mar 2017,Nancy,Lille,2.79,2.94,2.88
11 Mar 2017,Rennes,Dijon,1.74,3.62,5.17
11 Mar 2017,Monaco,Bordeaux,1.45,4.61,7.05
10 Mar 2017,Marseille,Angers,1.73,3.67,5.16
10 Mar 2017,Nice,Caen,1.70,3.67,5.45
05 Mar 2017,Monaco,Nantes,1.35,5.07,9.32
05 Mar 2017,Toulouse,Lille,2.09,3.11,4.08
05 Mar 2017,Lorient,Marseille,3.12,3.41,2.32
04 Mar 2017,Bastia,St Etienne,3.10,3.01,2.55
04 Mar 2017,Caen,Angers,2.41,3.08,3.26
04 Mar 2017,Dijon,Nice,3.58,3.34,2.14
04 Mar 2017,Metz,Rennes,2.96,3.08,2.61
04 Mar 2017,Montpellier,Guingamp,1.93,3.49,4.17
04 Mar 2017,PSG,Nancy,1.12,9.08,22.94
03 Mar 2017,Bordeaux,Lyon,3.34,3.56,2.15
01 Mar 2017,Bastia,Nantes,3.07,2.99,2.59
26 Feb 2017,Marseille,PSG,5.28,4.05,1.64
26 Feb 2017,Lyon,Metz,1.22,6.94,12.28
26 Feb 2017,St Etienne,Caen,1.89,3.31,4.69
25 Feb 2017,Angers,Bastia,1.86,3.29,4.91
25 Feb 2017,Lille,Bordeaux,2.49,3.05,3.17
