Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
22-May-11,Aston Villa,Liverpool,3.36,3.36,2.16
22-May-11,Bolton,Manchester City,4.89,3.69,1.71
22-May-11,Everton,Chelsea,3.06,3.32,2.33
22-May-11,Fulham,Arsenal,3.91,3.55,1.92
22-May-11,Manchester Utd,Blackpool,1.42,4.81,6.73
22-May-11,Newcastle,West Brom,2,3.41,3.77
22-May-11,Stoke,Wigan,2.1,3.41,3.44
22-May-11,Tottenham,Birmingham,1.55,3.94,6.29
22-May-11,West Ham,Sunderland,1.9,3.6,3.88
22-May-11,Wolves,Blackburn,2.33,2.97,3.42
17-May-11,Manchester City,Stoke,1.4,4.47,8.2
15-May-11,Arsenal,Aston Villa,1.38,4.68,8.12
15-May-11,Birmingham,Fulham,2.19,3.23,3.42
15-May-11,Liverpool,Tottenham,1.63,3.78,5.63
15-May-11,Wigan,West Ham,1.85,3.61,4.16
15-May-11,Chelsea,Newcastle,1.22,6.16,13.5
14-May-11,Blackburn,Manchester Utd,6.2,3.43,1.66
14-May-11,Blackpool,Bolton,2.05,3.51,3.49
14-May-11,Sunderland,Wolves,2.89,3.23,2.48
14-May-11,West Brom,Everton,2.65,3.22,2.68
10-May-11,Manchester City,Tottenham,1.93,3.36,4.08
9-May-11,Fulham,Liverpool,2.79,3.18,2.6
8-May-11,Manchester Utd,Chelsea,2.3,3.15,3.29
8-May-11,Stoke,Arsenal,4.27,3.41,1.88
8-May-11,Wolves,West Brom,2.33,3.3,3.07
7-May-11,Tottenham,Blackpool,1.31,5.45,8.98
7-May-11,Aston Villa,Wigan,1.74,3.61,4.85
7-May-11,Bolton,Sunderland,1.73,3.51,5.06
7-May-11,Everton,Manchester City,2.48,3.23,2.9
7-May-11,Newcastle,Birmingham,1.84,3.44,4.51
7-May-11,West Ham,Blackburn,2.07,3.35,3.64
1-May-11,Manchester City,West Ham,1.36,4.62,9.13
1-May-11,Arsenal,Manchester Utd,2.69,3.19,2.76
1-May-11,Birmingham,Wolves,2.13,3.3,3.53
1-May-11,Liverpool,Newcastle,1.46,4.13,7.56
30-Apr-11,Chelsea,Tottenham,1.5,4.18,6.96
30-Apr-11,Blackburn,Bolton,1.88,3.47,4.13
30-Apr-11,Blackpool,Stoke,2.67,3.44,2.56
30-Apr-11,Sunderland,Fulham,2.73,3.13,2.69
30-Apr-11,West Brom,Aston Villa,2.47,3.22,2.89
30-Apr-11,Wigan,Everton,3.06,3.2,2.39
