Date,HomeTeam,AwayTeam,HomeBet,DrawBet,AwayBet
22 May 2022,Salernitana,Udinese,1.90,3.98,3.90
22 May 2022,Venezia,Cagliari,5.40,4.15,1.63
22 May 2022,Inter,Sampdoria,1.13,9.58,19.66
22 May 2022,Sassuolo,AC Milan,7.18,5.04,1.44
22 May 2022,Spezia,Napoli,4.67,4.20,1.72
21 May 2022,Atalanta,Empoli,1.19,8.07,13.30
21 May 2022,Fiorentina,Juventus,1.83,3.93,4.28
21 May 2022,Lazio,Verona,1.91,3.84,3.99
21 May 2022,Genoa,Bologna,1.84,3.99,4.14
20 May 2022,Torino,AS Roma,3.62,3.73,2.04
16 May 2022,Juventus,Lazio,2.07,3.63,3.56
16 May 2022,Sampdoria,Fiorentina,6.21,4.30,1.56
15 May 2022,Cagliari,Inter,8.24,5.70,1.35
15 May 2022,AC Milan,Atalanta,1.87,3.72,4.24
15 May 2022,Napoli,Genoa,1.67,4.41,4.73
15 May 2022,Bologna,Sassuolo,2.41,3.93,2.73
14 May 2022,AS Roma,Venezia,1.27,6.24,11.40
14 May 2022,Udinese,Spezia,1.66,4.04,5.35
14 May 2022,Verona,Torino,1.98,3.49,4.07
14 May 2022,Empoli,Salernitana,2.99,3.61,2.35
09 May 2022,Fiorentina,AS Roma,2.74,3.31,2.71
08 May 2022,Verona,AC Milan,5.16,3.93,1.69
08 May 2022,Salernitana,Cagliari,2.45,3.06,3.32
08 May 2022,Venezia,Bologna,3.16,3.54,2.28
08 May 2022,Spezia,Atalanta,6.63,4.92,1.46
07 May 2022,Lazio,Sampdoria,1.46,4.72,7.16
07 May 2022,Sassuolo,Udinese,2.43,3.70,2.79
07 May 2022,Torino,Napoli,3.55,3.54,2.11
06 May 2022,Genoa,Juventus,3.70,3.42,2.12
06 May 2022,Inter,Empoli,1.14,9.54,18.85
05 May 2022,Salernitana,Venezia,1.98,3.53,4.01
02 May 2022,Atalanta,Salernitana,1.29,6.23,9.59
01 May 2022,AS Roma,Bologna,1.53,4.41,6.60
01 May 2022,Udinese,Inter,6.53,4.70,1.49
01 May 2022,AC Milan,Fiorentina,1.59,4.23,5.84
01 May 2022,Empoli,Torino,2.86,3.48,2.50
01 May 2022,Juventus,Venezia,1.27,6.05,11.43
30 Apr 2022,Spezia,Lazio,6.71,4.54,1.50
30 Apr 2022,Sampdoria,Genoa,2.92,3.01,2.78
30 Apr 2022,Cagliari,Verona,2.55,3.30,2.91
30 Apr 2022,Napoli,Sassuolo,1.39,5.49,7.26
27 Apr 2022,Atalanta,Torino,1.52,4.43,6.61
27 Apr 2022,Bologna,Inter,8.63,5.64,1.35
27 Apr 2022,Fiorentina,Udinese,1.64,4.07,5.48
25 Apr 2022,Sassuolo,Juventus,4.28,4.01,1.80
24 Apr 2022,Lazio,AC Milan,3.12,3.45,2.36
24 Apr 2022,Genoa,Cagliari,2.10,3.27,3.95
24 Apr 2022,Bologna,Udinese,3.34,3.40,2.25
24 Apr 2022,Empoli,Napoli,4.87,4.27,1.67
24 Apr 2022,Salernitana,Fiorentina,4.63,3.64,1.82
23 Apr 2022,Verona,Sampdoria,1.67,3.93,5.38
23 Apr 2022,Inter,AS Roma,1.65,4.15,5.31
23 Apr 2022,Torino,Spezia,1.66,3.82,5.86
23 Apr 2022,Venezia,Atalanta,7.13,4.88,1.45
20 Apr 2022,Udinese,Salernitana,1.67,3.97,5.42
18 Apr 2022,Atalanta,Verona,1.66,4.11,5.24
18 Apr 2022,Napoli,AS Roma,2.04,3.55,3.75
16 Apr 2022,Lazio,Torino,1.65,4.01,5.54
16 Apr 2022,Juventus,Bologna,1.35,5.25,9.25
16 Apr 2022,Fiorentina,Venezia,1.39,5.16,8.43
16 Apr 2022,Sampdoria,Salernitana,1.81,3.67,4.72
16 Apr 2022,Udinese,Empoli,1.63,4.08,5.62
16 Apr 2022,Cagliari,Sassuolo,2.61,3.63,2.66
15 Apr 2022,AC Milan,Genoa,1.36,5.09,9.39
15 Apr 2022,Spezia,Inter,10.50,5.71,1.30
11 Apr 2022,Bologna,Sampdoria,2.32,3.26,3.35
10 Apr 2022,Torino,AC Milan,4.71,3.64,1.83
10 Apr 2022,AS Roma,Salernitana,1.34,5.33,9.26
10 Apr 2022,Napoli,Fiorentina,1.78,3.85,4.64
10 Apr 2022,Sassuolo,Atalanta,3.08,3.88,2.20
10 Apr 2022,Venezia,Udinese,3.83,3.45,2.05
10 Apr 2022,Genoa,Lazio,3.80,3.38,2.10
09 Apr 2022,Cagliari,Juventus,6.35,3.97,1.59
09 Apr 2022,Inter,Verona,1.44,4.90,7.37
09 Apr 2022,Empoli,Spezia,1.91,3.53,4.40
04 Apr 2022,AC Milan,Bologna,1.33,5.44,9.92
04 Apr 2022,Verona,Genoa,1.81,3.61,4.78
03 Apr 2022,Juventus,Inter,3.03,3.26,2.51
03 Apr 2022,Sampdoria,AS Roma,4.69,3.84,1.78
03 Apr 2022,Atalanta,Napoli,2.24,3.37,3.43
03 Apr 2022,Udinese,Cagliari,1.96,3.39,4.36
03 Apr 2022,Fiorentina,Empoli,1.58,4.32,5.87
02 Apr 2022,Salernitana,Torino,3.71,3.41,2.14
02 Apr 2022,Lazio,Sassuolo,1.56,4.68,5.53
02 Apr 2022,Spezia,Venezia,2.23,3.27,3.54
20 Mar 2022,Bologna,Atalanta,4.27,3.51,1.93
20 Mar 2022,AS Roma,Lazio,2.70,3.22,2.81
20 Mar 2022,Empoli,Verona,2.65,3.48,2.68
20 Mar 2022,Juventus,Salernitana,1.22,6.85,13.81
20 Mar 2022,Venezia,Sampdoria,2.69,3.30,2.77
19 Mar 2022,Cagliari,AC Milan,5.49,3.97,1.66
19 Mar 2022,Inter,Fiorentina,1.49,4.65,6.56
19 Mar 2022,Napoli,Udinese,1.54,4.22,6.69
18 Mar 2022,Genoa,Torino,3.17,3.18,2.47
18 Mar 2022,Sassuolo,Spezia,1.80,3.91,4.40
14 Mar 2022,Lazio,Venezia,1.33,5.52,9.66
13 Mar 2022,Torino,Inter,5.11,3.75,1.75
13 Mar 2022,Atalanta,Genoa,1.35,5.41,9.21
13 Mar 2022,Udinese,AS Roma,3.24,3.39,2.33
13 Mar 2022,Verona,Napoli,3.55,3.41,2.17
13 Mar 2022,Fiorentina,Bologna,1.62,4.17,5.59
12 Mar 2022,AC Milan,Empoli,1.35,5.47,8.54
12 Mar 2022,Sampdoria,Juventus,5.48,3.75,1.71
12 Mar 2022,Salernitana,Sassuolo,3.83,3.99,1.91
12 Mar 2022,Spezia,Cagliari,2.82,3.12,2.76
06 Mar 2022,Napoli,AC Milan,2.15,3.31,3.73
06 Mar 2022,Juventus,Spezia,1.31,5.78,10.75
06 Mar 2022,Bologna,Torino,2.91,3.10,2.70
06 Mar 2022,Fiorentina,Verona,2.03,3.53,3.85
06 Mar 2022,Venezia,Sassuolo,3.41,3.80,2.10
06 Mar 2022,Genoa,Empoli,2.66,3.29,2.81
05 Mar 2022,Cagliari,Lazio,3.87,3.42,2.06
05 Mar 2022,AS Roma,Atalanta,2.61,3.32,2.87
05 Mar 2022,Udinese,Sampdoria,1.79,3.69,4.80
04 Mar 2022,Inter,Salernitana,1.13,9.37,23.40
28 Feb 2022,Atalanta,Sampdoria,1.40,4.96,8.42
27 Feb 2022,Lazio,Napoli,2.93,3.32,2.55
27 Feb 2022,Spezia,AS Roma,5.01,3.80,1.75
27 Feb 2022,Verona,Venezia,1.68,3.96,5.39
27 Feb 2022,Torino,Cagliari,1.73,3.71,5.23
26 Feb 2022,Sassuolo,Fiorentina,2.65,3.66,2.59
26 Feb 2022,Empoli,Juventus,4.80,3.95,1.73
26 Feb 2022,Salernitana,Bologna,3.44,3.45,2.21
25 Feb 2022,Genoa,Inter,9.44,5.40,1.34
25 Feb 2022,AC Milan,Udinese,1.49,4.34,7.12
21 Feb 2022,Bologna,Spezia,1.90,3.60,4.34
21 Feb 2022,Cagliari,Napoli,5.45,3.72,1.70
20 Feb 2022,Udinese,Lazio,2.91,3.18,2.68
20 Feb 2022,Inter,Sassuolo,1.28,6.56,9.61
20 Feb 2022,Venezia,Genoa,2.56,3.14,3.04
20 Feb 2022,Fiorentina,Atalanta,2.66,3.47,2.71
19 Feb 2022,Salernitana,AC Milan,10.39,5.49,1.32
19 Feb 2022,AS Roma,Verona,2.11,3.47,3.65
19 Feb 2022,Sampdoria,Empoli,2.38,3.45,3.04
18 Feb 2022,Juventus,Torino,1.68,3.67,5.94
14 Feb 2022,Spezia,Fiorentina,3.99,3.62,1.96
13 Feb 2022,Atalanta,Juventus,3.07,3.30,2.43
13 Feb 2022,Sassuolo,AS Roma,3.44,3.74,2.10
13 Feb 2022,Empoli,Cagliari,2.03,3.64,3.67
13 Feb 2022,Genoa,Salernitana,1.87,3.58,4.47
13 Feb 2022,Verona,Udinese,1.92,3.51,4.27
13 Feb 2022,AC Milan,Sampdoria,1.40,4.95,8.04
12 Feb 2022,Torino,Venezia,1.55,4.09,6.75
12 Feb 2022,Napoli,Inter,2.74,3.40,2.65
12 Feb 2022,Lazio,Bologna,1.66,4.07,5.27
07 Feb 2022,Salernitana,Spezia,2.77,3.24,2.73
06 Feb 2022,Juventus,Verona,1.59,4.03,6.32
06 Feb 2022,Udinese,Torino,3.18,3.18,2.47
06 Feb 2022,Bologna,Empoli,2.06,3.54,3.73
06 Feb 2022,Sampdoria,Sassuolo,2.79,3.73,2.46
06 Feb 2022,Venezia,Napoli,7.59,4.57,1.47
06 Feb 2022,Atalanta,Cagliari,1.23,6.83,12.71
05 Feb 2022,Fiorentina,Lazio,2.39,3.44,3.05
05 Feb 2022,Inter,AC Milan,1.89,3.68,4.22
05 Feb 2022,AS Roma,Genoa,1.38,5.07,8.50
23 Jan 2022,AC Milan,Juventus,2.74,3.18,2.80
23 Jan 2022,Empoli,AS Roma,3.89,4.03,1.88
23 Jan 2022,Napoli,Salernitana,1.13,8.87,23.46
23 Jan 2022,Spezia,Sampdoria,2.65,3.18,2.87
23 Jan 2022,Torino,Sassuolo,1.96,3.69,3.91
23 Jan 2022,Cagliari,Fiorentina,6.59,4.37,1.52
22 Jan 2022,Lazio,Atalanta,2.31,3.56,3.11
22 Jan 2022,Inter,Venezia,1.12,9.93,22.85
22 Jan 2022,Genoa,Udinese,3.54,3.28,2.22
21 Jan 2022,Verona,Bologna,1.84,3.73,4.39
17 Jan 2022,Fiorentina,Genoa,1.41,4.88,8.09
17 Jan 2022,AC Milan,Spezia,1.30,5.88,9.92
17 Jan 2022,Bologna,Napoli,4.41,3.62,1.87
16 Jan 2022,Atalanta,Inter,3.18,3.56,2.27
16 Jan 2022,AS Roma,Cagliari,1.36,5.29,8.70
16 Jan 2022,Venezia,Empoli,2.89,3.57,2.41
16 Jan 2022,Sassuolo,Verona,2.45,3.43,2.98
15 Jan 2022,Juventus,Udinese,1.43,4.66,8.00
15 Jan 2022,Salernitana,Lazio,10.29,5.63,1.31
15 Jan 2022,Sampdoria,Torino,3.57,3.42,2.16
11 Jan 2022,Cagliari,Bologna,3.07,3.37,2.40
10 Jan 2022,Torino,Fiorentina,3.05,3.33,2.45
09 Jan 2022,Inter,Lazio,1.37,5.30,8.45
09 Jan 2022,Verona,Salernitana,1.34,5.36,9.30
09 Jan 2022,AS Roma,Juventus,3.08,3.23,2.48
09 Jan 2022,Genoa,Spezia,2.31,3.14,3.50
09 Jan 2022,Napoli,Sampdoria,1.41,4.79,8.31
09 Jan 2022,Udinese,Atalanta,4.71,3.81,1.78
09 Jan 2022,Empoli,Sassuolo,2.69,3.83,2.47
09 Jan 2022,Venezia,AC Milan,5.63,4.20,1.61
06 Jan 2022,Juventus,Napoli,1.78,3.61,5.01
06 Jan 2022,AC Milan,AS Roma,2.27,3.56,3.17
06 Jan 2022,Sassuolo,Genoa,1.77,3.82,4.68
06 Jan 2022,Lazio,Empoli,1.60,4.45,5.32
06 Jan 2022,Spezia,Verona,3.44,3.51,2.17
06 Jan 2022,Sampdoria,Cagliari,1.76,3.80,4.87
22 Dec 2021,Empoli,AC Milan,4.03,3.83,1.88
22 Dec 2021,Napoli,Spezia,1.27,6.14,12.17
22 Dec 2021,AS Roma,Sampdoria,1.51,4.54,6.41
22 Dec 2021,Inter,Torino,1.28,5.92,11.35
22 Dec 2021,Verona,Fiorentina,2.97,3.45,2.43
22 Dec 2021,Sassuolo,Bologna,2.10,3.67,3.46
