"ID","gameId","Score.Diff","RedCard.Diff","WinBet","DrawBet","Weighted.Win.Prob","HomeAway","minutes.spent","Goals","Fouls","Corners","RedCards","Shots","Saves"
"1","252449",0,0,1.87,3.5,0.29779253364422,"Home",58,1,6,3,0,12,0
"1","252449",0,0,4.22,3.5,-0.29779253364422,"Away",58,0,10,2,0,2,4
"1","252449",1,0,1.87,3.5,0.29779253364422,"Home",10,1,0,1,0,3,0
"1","252449",-1,0,4.22,3.5,-0.29779253364422,"Away",10,0,3,0,0,0,1
"1","252449",2,-1,1.87,3.5,0.29779253364422,"Home",12,0,3,0,0,1,2
"1","252449",2,0,1.87,3.5,0.29779253364422,"Home",10,0,3,0,0,1,0
"1","252449",-2,1,4.22,3.5,-0.29779253364422,"Away",12,0,1,1,1,2,0
"1","252449",-2,0,4.22,3.5,-0.29779253364422,"Away",10,0,4,1,0,4,0
"2","252450",0,0,1.98,3.35,0.245310245310245,"Home",57,1,9,4,0,6,1
"2","252450",0,0,3.85,3.35,-0.245310245310245,"Away",57,0,5,4,0,10,1
"2","252450",1,0,1.98,3.35,0.245310245310245,"Home",33,0,10,0,0,3,2
"2","252450",-1,0,3.85,3.35,-0.245310245310245,"Away",33,1,4,0,0,9,1
"3","252451",0,0,2.33,3.36,0.0958512160228899,"Home",30,1,5,2,0,7,2
"3","252451",0,0,3,3.36,-0.0958512160228899,"Away",30,1,5,4,0,5,1
"3","252451",-1,0,2.33,3.36,0.0958512160228899,"Home",56,1,11,2,0,6,1
"3","252451",1,0,2.33,3.36,0.0958512160228899,"Home",4,0,0,0,0,0,0
"3","252451",1,0,3,3.36,-0.0958512160228899,"Away",56,0,10,1,0,7,2
"3","252451",-1,0,3,3.36,-0.0958512160228899,"Away",4,1,0,0,0,1,0
"4","252451",0,0,1.87,3.5,0.29779253364422,"Home",30,1,5,2,0,7,2
"4","252451",0,0,4.22,3.5,-0.29779253364422,"Away",30,1,5,4,0,5,1
"4","252451",-1,0,1.87,3.5,0.29779253364422,"Home",56,1,11,2,0,6,1
"4","252451",1,0,1.87,3.5,0.29779253364422,"Home",4,0,0,0,0,0,0
"4","252451",1,0,4.22,3.5,-0.29779253364422,"Away",56,0,10,1,0,7,2
"4","252451",-1,0,4.22,3.5,-0.29779253364422,"Away",4,1,0,0,0,1,0
"5","252452",0,0,2.24,3.39,0.127957233848954,"Home",40,0,9,11,0,10,0
"5","252452",0,0,3.14,3.39,-0.127957233848954,"Away",40,1,5,1,0,3,1
"5","252452",-1,0,2.24,3.39,0.127957233848954,"Home",50,0,7,4,0,15,0
"5","252452",1,0,3.14,3.39,-0.127957233848954,"Away",50,0,7,1,0,6,3
"6","252453",0,0,1.42,4.35,0.574017018779343,"Home",15,1,3,1,0,4,0
"6","252453",0,0,7.68,4.35,-0.574017018779343,"Away",15,0,2,0,0,0,0
"6","252453",1,0,1.42,4.35,0.574017018779343,"Home",37,2,8,3,0,4,1
"6","252453",-1,0,7.68,4.35,-0.574017018779343,"Away",37,0,11,1,0,5,1
"6","252453",2,0,1.42,4.35,0.574017018779343,"Home",38,0,7,2,0,10,0
"6","252453",-2,0,7.68,4.35,-0.574017018779343,"Away",38,1,5,2,0,2,2
"7","252454",0,0,1.99,3.4,0.23726057342415,"Home",29,0,5,5,0,6,2
"7","252454",0,0,3.77,3.4,-0.23726057342415,"Away",29,1,7,1,0,4,2
"7","252454",-1,0,1.99,3.4,0.23726057342415,"Home",61,0,11,6,0,13,0
"7","252454",1,0,3.77,3.4,-0.23726057342415,"Away",61,0,10,5,0,3,1
"8","252455",0,0,2.3,3.28,0.114269788182832,"Home",73,1,18,2,0,13,3
"8","252455",0,0,3.12,3.28,-0.114269788182832,"Away",73,0,16,3,0,7,4
"8","252455",1,0,2.3,3.28,0.114269788182832,"Home",19,0,8,0,0,0,0
"8","252455",-1,0,3.12,3.28,-0.114269788182832,"Away",19,1,4,0,0,2,0
"9","252456",0,0,1.94,3.55,0.253683812813731,"Home",30,1,8,1,0,6,0
"9","252456",0,0,3.82,3.55,-0.253683812813731,"Away",30,1,6,0,0,2,1
"9","252456",-1,0,1.94,3.55,0.253683812813731,"Home",26,0,3,4,0,7,1
"9","252456",1,0,1.94,3.55,0.253683812813731,"Home",24,1,5,2,0,4,2
"9","252456",1,0,3.82,3.55,-0.253683812813731,"Away",26,0,8,0,0,3,0
"9","252456",-1,0,3.82,3.55,-0.253683812813731,"Away",24,1,4,1,0,5,0
"9","252456",2,0,1.94,3.55,0.253683812813731,"Home",10,0,1,1,0,1,0
"9","252456",-2,0,3.82,3.55,-0.253683812813731,"Away",10,1,3,0,0,2,0
"10","252457",0,0,1.39,4.45,0.603010025041666,"Home",17,1,2,1,0,3,0
"10","252457",0,0,8.59,4.45,-0.603010025041666,"Away",17,0,3,0,0,0,1
"10","252457",1,0,1.39,4.45,0.603010025041666,"Home",21,2,7,0,0,2,1
"10","252457",-1,0,8.59,4.45,-0.603010025041666,"Away",21,0,4,0,0,2,0
"10","252457",2,0,1.39,4.45,0.603010025041666,"Home",52,0,9,4,0,8,1
