"Date","HomeTeam","AwayTeam","HomeBet","DrawBet","AwayBet","Weighted.Win.Prob.Home","HomeTeam.espn","AwayTeam.espn"
"31 May 2009","Nurnberg","Cottbus",1.71,3.72,4.6,0.367404017289601,"Nurnberg","Energie Cottbus"
"28 May 2009","Cottbus","Nurnberg",2.42,3.18,2.96,0.07538530265803,"Energie Cottbus","Nurnberg"
"23 May 2009","FC Koln","Bochum",2.08,3.44,3.48,0.19341290893015,"FC Cologne","VfL Bochum"
"23 May 2009","Arminia Bielefeld","Hannover",1.65,4.18,4.75,0.395534290271132,"Arminia Bielefeld","Hannover 96"
"23 May 2009","B. Monchengladbach","Dortmund",3.59,3.48,2.02,-0.216497972917069,"Borussia Monchengladbach","Borussia Dortmund"
"23 May 2009","Bayern Munich","Stuttgart",1.63,4.13,4.89,0.408997955010225,"Bayern Munich","VfB Stuttgart"
"23 May 2009","Eintracht Frankfurt","Hamburger SV",3.89,3.5,1.94,-0.258394508785413,"Eintracht Frankfurt","Hamburg SV"
"23 May 2009","Cottbus","Bayer Leverkusen",2.91,3.74,2.24,-0.102785959744723,"Energie Cottbus","Bayer Leverkusen"
"23 May 2009","Karlsruher SC","Hertha Berlin",3.92,3.85,1.84,-0.288376220053239,"Karlsruher SC","Hertha Berlin"
"23 May 2009","Schalke","Hoffenheim",1.68,3.81,4.88,0.39032006245121,"Schalke 04","TSG Hoffenheim"
"23 May 2009","Wolfsburg","Werder Bremen",1.48,4.31,6.47,0.521116170266093,"VfL Wolfsburg","Werder Bremen"
"16 May 2009","Bayer Leverkusen","B. Monchengladbach",1.92,3.53,3.93,0.266380407124682,"Bayer Leverkusen","Borussia Monchengladbach"
"16 May 2009","Bochum","Eintracht Frankfurt",1.83,3.53,4.33,0.315501205214604,"VfL Bochum","Eintracht Frankfurt"
"16 May 2009","Dortmund","Arminia Bielefeld",1.44,4.34,7.16,0.554779639975171,"Borussia Dortmund","Arminia Bielefeld"
"16 May 2009","Hamburger SV","FC Koln",1.27,5.75,11.84,0.70294211534369,"Hamburg SV","FC Cologne"
"16 May 2009","Hannover","Wolfsburg",5.13,3.79,1.65,-0.411128832181464,"Hannover 96","VfL Wolfsburg"
"16 May 2009","Hertha Berlin","Schalke",1.96,3.4,3.88,0.252472122869766,"Hertha Berlin","Schalke 04"
"16 May 2009","Hoffenheim","Bayern Munich",6.72,4.16,1.49,-0.522331415787792,"TSG Hoffenheim","Bayern Munich"
"16 May 2009","Stuttgart","Cottbus",1.24,5.96,12.81,0.728387600412984,"VfB Stuttgart","Energie Cottbus"
"16 May 2009","Werder Bremen","Karlsruher SC",1.52,4.16,6.46,0.503095975232198,"Werder Bremen","Karlsruher SC"
"13 May 2009","Arminia Bielefeld","Hoffenheim",2.23,3.4,3.19,0.134950869449091,"Arminia Bielefeld","TSG Hoffenheim"
"13 May 2009","Eintracht Frankfurt","Werder Bremen",2.5,3.36,2.77,0.0389891696750903,"Eintracht Frankfurt","Werder Bremen"
"13 May 2009","Cottbus","B. Monchengladbach",2.4,3.17,3.06,0.0898692810457516,"Energie Cottbus","Borussia Monchengladbach"
"13 May 2009","Hamburger SV","Bochum",1.47,4.16,7.04,0.538226654298083,"Hamburg SV","VfL Bochum"
"13 May 2009","Schalke","Stuttgart",2.32,3.43,2.98,0.095464012959963,"Schalke 04","VfB Stuttgart"
"12 May 2009","FC Koln","Hertha Berlin",4.72,3.56,1.76,-0.356317411402157,"FC Cologne","Hertha Berlin"
"12 May 2009","Bayern Munich","Bayer Leverkusen",1.32,5.24,9.11,0.647806273492333,"Bayern Munich","Bayer Leverkusen"
"12 May 2009","Karlsruher SC","Hannover",1.94,3.55,3.82,0.253683812813731,"Karlsruher SC","Hannover 96"
"12 May 2009","Wolfsburg","Dortmund",1.94,3.51,3.84,0.255047250859107,"VfL Wolfsburg","Borussia Dortmund"
"10 May 2009","B. Monchengladbach","Schalke",3.34,3.36,2.17,-0.161428295482767,"Borussia Monchengladbach","Schalke 04"
"10 May 2009","Werder Bremen","Hamburger SV",2.52,3.35,2.74,0.0318618931757618,"Werder Bremen","Hamburg SV"
"09 May 2009","Dortmund","Karlsruher SC",1.47,4.19,7.36,0.544402543626146,"Borussia Dortmund","Karlsruher SC"
"09 May 2009","Cottbus","Bayern Munich",7.91,4.61,1.4,-0.587863463969659,"Energie Cottbus","Bayern Munich"
"09 May 2009","Hannover","Eintracht Frankfurt",1.98,3.35,3.85,0.245310245310245,"Hannover 96","Eintracht Frankfurt"
"09 May 2009","Hertha Berlin","Bochum",1.64,3.66,5.66,0.433077652331294,"Hertha Berlin","VfL Bochum"
"09 May 2009","Hoffenheim","FC Koln",1.87,3.5,4.22,0.29779253364422,"TSG Hoffenheim","FC Cologne"
"09 May 2009","Stuttgart","Wolfsburg",2.23,3.41,3.15,0.130970175813225,"VfB Stuttgart","VfL Wolfsburg"
